timestamp;nome;ISIN;nav_text_it;nav_float
2025-12-12T18:00:58.081298;Btp Italia Nv28 Eur;;101,1;101.1
2025-12-12T18:00:59.381361;Btp Valore Gn27 Eur;;102,31;102.31
2025-12-12T18:01:00.678882;Btp Piu' Sc Fb33 Eur;;100,05;100.05
2025-12-12T18:01:02.270648;Is Ep Cp Euro Stoxx Banks 82.124 300627;;1.017,99;1017.99
2025-12-12T18:01:03.580469;Is Bon Cap Stellantis 17.3844 55 130927;;830;830
2025-12-12T18:01:04.972410;Is Cc Volkswagen Pref 114.32 55 310528;;939,3;939.3
2025-12-12T18:01:06.369778;Is Bon Cap Airbus 152.954 55 310528;;1.001,92;1001.92
2025-12-12T18:01:07.872009;Is Ep Cp Euribor 3M .0195 291128;;990,22;990.22
2025-12-12T18:01:09.282112;Is Cc Puma/Adidas/Dk/Vf/Nike 60 310128;;909,99;909.99
2025-12-12T18:01:10.681703;Is Bon Cap Amazon Inc 207.84 55 291128;;1.032,72;1032.72
2025-12-12T18:01:19.293444;Eurizon PIR Obbligazionario - Edizione 9 Classe PIR;;5,113;5.113
2025-12-12T18:01:30.681639;Eurizon Progetto Italia 70 Classe PIR;;9,594;9.594
2025-12-12T18:01:32.174118;Covivio;;54,05;54.05
2025-12-12T18:01:34.278020;IGD;;3,365;3.365
2025-12-12T18:01:44.972675;Eurizon Next 2.0 - Strategia Conservativa ST;;108,84;108.84
2025-12-12T18:01:54.975435;Eurizon Next 2.0 - Diversificato 70 G;;147,63;147.63
2025-12-12T18:02:08.669100;Eurizon Manager Selection Fund - MS 40 R;;192,59;192.59
2025-12-12T18:02:23.978576;Eurizon Fund - Bond High Yield R;;263,72;263.72
2025-12-12T18:02:33.383671;Eurizon Opportunità Obbligazionaria Plus Dicembre 2029;;5,171;5.171
2025-12-12T18:02:44.478123;Eurizon Bilanciato 50 - Edizione 2;;5,204;5.204
2025-12-12T18:02:59.177915;Eurizon Azioni America;;51,644;51.644
2025-12-12T18:03:09.672849;Eurizon Valore Obbligazionario 3 anni - Edizione 4 Classe A;;5,313;5.313
2025-12-12T18:03:24.774403;Eurizon Fund II - Q-Flexible R;;181,79;181.79
2025-12-12T18:03:34.672619;Eurizon Fund - Equity Planet R;;154,72;154.72
2025-12-12T18:03:44.970953;Eurizon Fund - Equity Innovation R;;199,22;199.22
2025-12-12T18:03:55.875125;Eurizon Fund - Active Allocation R;;130,29;130.29
2025-12-12T18:04:06.681885;Eurizon Fund - Top European Research R;;172,24;172.24
2025-12-12T18:04:21.073570;Eurizon Fund - Equity World Smart Volatility R;;167,47;167.47
2025-12-12T18:04:30.676666;Eurizon Fund - Equity People R;;137,14;137.14
2025-12-12T18:04:41.170855;Eurizon Fund - Sustainable Japan Equity R;;153,10;153.10
2025-12-12T18:04:51.283163;Eurizon Fund - Top US Research RH;;245,75;245.75
2025-12-12T18:05:00.978668;Eurizon Fund - Global Allocation R;;117,59;117.59
2025-12-12T18:05:09.882326;Eurizon Fund - Equity High Dividend R;;133,51;133.51
2025-12-12T18:05:24.672891;Eurizon Manager Selection Fund - MS 70 R;;269,89;269.89
