nome,url
Btp Italia Nv28 Eur,https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-italia-nv28-eur-it0005517195-it0005517195-SVQwMDA1NTE3MTk1,IT
Btp Valore Gn27 Eur, https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-valore-gn27-eur-it0005547408-it0005547408-SVQwMDA1NTQ3NDA4,IT
Btp Piu' Sc Fb33 Eur,https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-piu-sc-fb33-eur-it0005634800-it0005634800-SVQwMDA1NjM0ODAw,IT
Is Ep Cp Euro Stoxx Banks 82.124 300627,https://www.teleborsa.it/sedex-securitised-derivates/is-ep-cp-euro-stoxx-banks-82-124-300627-i08396-xs2480901110-WFMyNDgwOTAxMTEw,IT
Is Bon Cap Stellantis 17.3844 55 130927,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-stellantis-17-3844-55-130927-i09512-xs2651529708-WFMyNjUxNTI5NzA4,IT
Is Cc Volkswagen Pref 114.32 55 310528,https://www.teleborsa.it/sedex-securitised-derivates/is-cc-volkswagen-pref-114-32-55-310528-i10147-xs2803386726-WFMyODAzMzg2NzI2,IT
Is Bon Cap Airbus 152.954 55 310528,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-airbus-152-954-55-310528-i10146-xs2803386056-WFMyODAzMzg2MDU2,IT
Is Ep Cp Euribor 3M .0195 291128,https://www.teleborsa.it/sedex-securitised-derivates/is-ep-cp-euribor-3m-0195-291128-i10560-xs2922665703-WFMyOTIyNjY1NzAz,IT
Is Cc Puma/Adidas/Dk/Vf/Nike 60 310128,https://www.teleborsa.it/sedex-securitised-derivates/is-cc-puma-adidas-dk-vf-nike-60-310128-i09770-xs2733100296-WFMyNzMzMTAwMjk2,IT
Is Bon Cap Amazon Inc 207.84 55 291128,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-amazon-inc-207-84-55-291128-i10555-xs2922658328-WFMyOTIyNjU4MzI4,IT
Eurizon PIR Obbligazionario - Edizione 9 Classe PIR,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-pir-obbligazionario-edizione-9-classe-pir,IT
Eurizon Progetto Italia 70 Classe PIR,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-progetto-italia-70-classe-pir,IT
Covivio,https://www.teleborsa.it/azioni-estero/covivio-cov-fr0000064578-MTkuQ09W,IT
IGD,https://www.teleborsa.it/azioni/igd-igd-it0005322612-SVQwMDA1MzIyNjEy,IT
Eurizon Next 2.0 - Strategia Conservativa ST,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-next-strategia-conservativa-st,IT
Eurizon Next 2.0 - Diversificato 70 G,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-next---allocazione-diversificata-70-g,IT
Eurizon Manager Selection Fund - MS 40 R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-manager-selection-fund---ms-40-r,IT
Eurizon Fund - Bond High Yield R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---bond-high-yield-r,IT
Eurizon Opportunità Obbligazionaria Plus Dicembre 2029,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-opportunita-obbligazionaria-plus-dicembre-2029,IT
Eurizon Bilanciato 50 - Edizione 2,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-bilanciato-50-edizione-2,IT
Eurizon Azioni America,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-azioni-america,IT
Eurizon Valore Obbligazionario 3 anni - Edizione 4 Classe A,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-valore-obbligazionario-3-anni-edizione-4-classe-a,IT
Eurizon Fund II - Q-Flexible R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund-ii-q-flexible-r,IT
Eurizon Fund - Equity Planet R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---equity-planet-r,IT
Eurizon Fund - Equity Innovation R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---equity-innovation-r,IT
Eurizon Fund - Active Allocation R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---active-allocation-r,IT
Eurizon Fund - Top European Research R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---top-european-research-r,IT
Eurizon Fund - Equity World Smart Volatility R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---equity-world-smart-volatility-r,IT
Eurizon Fund - Equity People R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---equity-people-r,IT
Eurizon Fund - Sustainable Japan Equity R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---sustainable-japan-equity-r,IT
Eurizon Fund - Top US Research RH,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund-top-us-research-rh,IT
Eurizon Fund - Global Allocation R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---global-allocation-r,IT
Eurizon Fund - Equity High Dividend R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund-equity-high-dividend-r,IT
Eurizon Manager Selection Fund - MS 70 R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-manager-selection-fund---ms-70-r,IT

