timestamp;nome;nav_text_it;nav_float
2025-12-08T02:30:33.323759;Eurizon Next 2.0 - Strategia Conservativa ST;109,22;109.22
2025-12-08T02:30:43.924333;Eurizon Next 2.0 - Diversificato 70 G;147,37;147.37
2025-12-08T02:30:57.633394;Eurizon Azioni America;51,240;51.240
2025-12-08T02:30:59.634663;Is Ep Cp Euro Stoxx Banks 82.124 300627;1.014,37;1014.37
2025-12-08T02:31:01.037251;Is Bon Cap Stellantis 17.3844 55 130927;845,01;845.01
2025-12-08T02:31:02.530654;Is Cc Volkswagen Pref 114.32 55 310528;932,03;932.03
2025-12-08T02:31:03.836128;Is Bon Cap Airbus 152.954 55 310528;999,53;999.53
2025-12-08T02:31:05.230532;Is Ep Cp Euribor 3M .0195 291128;989,87;989.87
2025-12-08T02:31:06.440336;Is Cc Puma/Adidas/Dk/Vf/Nike 60 310128;907,99;907.99
2025-12-08T02:31:07.829100;Is Bon Cap Amazon Inc 207.84 55 291128;992,53;992.53
2025-12-08T02:31:09.228827;Btp Italia Nv28 Eur;101,16;101.16
2025-12-08T02:31:10.537218;Btp Valore Gn27 Eur;102,43;102.43
2025-12-08T02:31:11.934685;Btp Piu' Sc Fb33 Eur;100,36;100.36
